
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5A:F3:A3:0A:29:F8, 2018-12-16 20:59:28, 2018-12-16 21:00:58,  1,  54, OPN, ,   , -75,        3,        0,   0.  0.  0.  0,  15, BTWiFi-with-FON, 
D4:6E:0E:CC:B9:0E, 2018-12-16 20:59:04, 2018-12-16 20:59:04,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:F3:A3:0A:29:FF, 2018-12-16 20:57:56, 2018-12-16 21:00:58,  1,  54, WPA2, CCMP TKIP,PSK, -72,        2,        0,   0.  0.  0.  0,  11, BTHub3-MW9F, 
CC:33:BB:7E:8C:5E, 2018-12-16 20:58:20, 2018-12-16 20:58:20, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -79,        1,        0,   0.  0.  0.  0,  11, BTHub4-8KGZ, 
CC:33:BB:7E:8C:63, 2018-12-16 20:58:20, 2018-12-16 20:58:20, 11,  54, WPA2 WPA, CCMP TKIP, MGT, -79,        1,        0,   0.  0.  0.  0,   8, BTWifi-X, 
80:EA:96:F3:A8:C8, 2018-12-16 20:57:44, 2018-12-16 20:58:09, 11,  54, WPA2, CCMP,PSK, -79,        1,        0,   0.  0.  0.  0,  23, Michael's Wi-Fi Network, 
CC:33:BB:7E:8C:61, 2018-12-16 20:57:40, 2018-12-16 20:57:55, 11,  54, OPN, ,   , -81,        2,        0,   0.  0.  0.  0,  15, BTWifi-with-FON, 
48:D3:43:77:C4:61, 2018-12-16 20:57:33, 2018-12-16 21:00:57, 11,  54, WPA2, CCMP TKIP,PSK, -81,       61,        0,   0.  0.  0.  0,   9, VM8786948, 
02:81:D8:79:CE:2A, 2018-12-16 20:57:34, 2018-12-16 21:00:59,  1,  54, OPN, ,   , -77,       45,        0,   0.  0.  0.  0,  15, BTWifi-with-FON, 
F6:6B:EF:39:22:14, 2018-12-16 20:57:30, 2018-12-16 21:00:58,  1,  54, WPA2, CCMP, MGT, -77,       53,        0,   0.  0.  0.  0,   8, BTWifi-X, 
F6:6B:EF:39:22:17, 2018-12-16 20:57:37, 2018-12-16 21:00:58,  1,  54, OPN, ,   , -76,       47,        0,   0.  0.  0.  0,  15, BTWifi-with-FON, 
F4:6B:EF:39:20:16, 2018-12-16 20:57:30, 2018-12-16 21:00:58,  1,  54, WPA2, CCMP,PSK, -77,       45,        0,   0.  0.  0.  0,  11, BTHub6-S7XF, 
00:81:D8:79:CE:2A, 2018-12-16 20:57:37, 2018-12-16 21:00:58,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -76,       35,        0,   0.  0.  0.  0,  11, BTHub3-PZWT, 
E8:FC:AF:2F:30:D8, 2018-12-16 20:57:30, 2018-12-16 21:00:59,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -74,      329,       12,   0.  0.  0.  0,  11, VM127044-2G, 
94:FE:22:E3:FA:34, 2018-12-16 20:57:30, 2018-12-16 21:00:59,  1,  54, WPA2, CCMP TKIP,PSK, -65,      448,     1421,   0.  0.  0.  0,  14, TALKTALKE3FA2D, 
B0:4E:26:41:5B:9D, 2018-12-16 20:57:31, 2018-12-16 21:00:59,  4,  54, WPA2, CCMP TKIP,PSK, -69,      726,       81,   0.  0.  0.  0,  19, TP-LINK_5GHz_6135E4, 
C4:E9:84:61:35:E2, 2018-12-16 20:57:31, 2018-12-16 21:00:59,  4,  54, WPA2, CCMP,PSK, -52,      753,       17,   0.  0.  0.  0,  19, TP-LINK_5GHz_6135E4, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E0:33:8E:16:F5:A5, 2018-12-16 20:58:05, 2018-12-16 20:58:10,  -1,        5, E8:FC:AF:2F:30:D8,
10:D3:8A:A9:97:EB, 2018-12-16 20:58:32, 2018-12-16 20:58:32,  -1,        1, 20:F3:A3:0A:29:FF,
04:D6:AA:CC:D4:43, 2018-12-16 20:57:50, 2018-12-16 20:59:23, -41,       14, (not associated) ,TP-LINK_5GHz_6135E4
C8:3A:35:D1:29:E8, 2018-12-16 20:58:05, 2018-12-16 21:00:33, -73,        3, E8:FC:AF:2F:30:D8,
B2:4E:26:1B:FF:FC, 2018-12-16 20:57:38, 2018-12-16 21:00:52, -69,       11, C4:E9:84:61:35:E2,
B2:4E:26:41:5B:9D, 2018-12-16 20:57:32, 2018-12-16 21:00:56, -67,       42, C4:E9:84:61:35:E2,
B2:4E:26:A9:D2:D5, 2018-12-16 20:57:38, 2018-12-16 21:00:50, -65,        9, C4:E9:84:61:35:E2,
28:24:FF:D7:48:67, 2018-12-16 20:57:32, 2018-12-16 21:00:47, -55,        7, C4:E9:84:61:35:E2,
74:75:48:A9:D2:D5, 2018-12-16 20:59:54, 2018-12-16 21:00:24, -53,        2, B0:4E:26:41:5B:9D,
88:28:B3:C6:AD:FB, 2018-12-16 20:57:52, 2018-12-16 21:00:07,  -1,        5, 94:FE:22:E3:FA:34,

